"","price","assess","bdrms","lotsize","sqrft","colonial","lprice","lassess","llotsize","lsqrft"
"37",360,452.399993896484,4,10892,2750,1,5.88610410690308,6.11456680297852,9.29578399658203,7.91935634613037
"41",246,278.5,3,6314,1662,1,5.50533151626587,5.62941789627075,8.75052452087402,7.4157772064209
"17",240,303.799987792969,4,5922,2000,0,5.48063898086548,5.71636962890625,8.68642997741699,7.60090255737305
"65",335,384.299987792969,4,8022,2321,1,5.8141303062439,5.95142364501953,8.9899435043335,7.74975347518921
"33",251,224.300003051758,3,5763,1630,1,5.52545309066772,5.4129843711853,8.65921306610107,7.39633512496948
"10",240,256.299987792969,3,2892,1890,0,5.48063898086548,5.54634857177734,7.96970367431641,7.5443320274353
"40",225,268.100006103516,2,8880,1421,0,5.41610050201416,5.59136009216309,9.09155654907227,7.25911617279053
"56",250,282.299987792969,4,5625,1780,1,5.52146100997925,5.64297008514404,8.63497638702393,7.48436880111694
"26",275,294.100006103516,3,6114,1932,0,5.61677122116089,5.68391990661621,8.71833610534668,7.56631088256836
"28",343,359.899993896484,3,8577,2106,1,5.83773040771484,5.88582611083984,9.05683994293213,7.65254592895508
"81",111,202.399993896484,4,4315,1535,1,4.70953035354614,5.31024599075317,8.36985301971436,7.33628559112549
"7",332.5,367.799987792969,3,9000,2067,1,5.80663967132568,5.90753936767578,9.10497951507568,7.63385343551636
"82",268.125,254,3,5167,1980,1,5.59145307540894,5.53733444213867,8.55004787445068,7.5908522605896
"73",725,708.599975585938,5,31000,3662,0,6.58617162704468,6.56329107284546,10.341742515564,8.20576477050781
"66",495,543.599975585938,4,11966,2638,1,6.2045578956604,6.29821348190308,9.38982486724854,7.87777614593506
"6",466.274993896484,414.5,5,8566,2754,1,6.144775390625,6.02707290649414,9.05555629730225,7.92080974578857
"12",300,416.5,5,7047,2634,1,5.70378255844116,6.0318865776062,8.8603572845459,7.87625885009766
"42",713.5,655.400024414062,5,28231,3331,1,6.57018232345581,6.48524570465088,10.2481756210327,8.11102771759033
"61",225,291,3,7566,1567,0,5.41610050201416,5.67332315444946,8.93141937255859,7.35691833496094
"77",318,295.200012207031,4,92681,1696,1,5.76205158233643,5.68765306472778,11.4369192123413,7.43602800369263
"70",220,263.399993896484,3,6300,1587,1,5.39362764358521,5.57367372512817,8.74830532073975,7.36960077285767
"44",230,212.100006103516,3,5305,1171,0,5.43807935714722,5.35705804824829,8.57640552520752,7.06561326980591
"57",209,230.699996948242,4,5600,1674,1,5.34233427047729,5.44111824035645,8.63052177429199,7.42297124862671
"13",405,434,3,12237,3375,1,6.00388717651367,6.07304430007935,9.41221904754639,8.12415027618408
"86",202.5,258.100006103516,3,6341,1574,0,5.31073999404907,5.55334711074829,8.75479221343994,7.36137533187866
"35",361,354.899993896484,4,9000,2066,1,5.88887786865234,5.87183618545532,9.10497951507568,7.63336944580078
"52",255,279.799987792969,2,15267,1478,0,5.54126358032227,5.63407516479492,9.63344860076904,7.29844522476196
"34",235,251.899993896484,4,6383,1840,1,5.45958566665649,5.5290322303772,8.76139354705811,7.51752090454102
"45",375,354,5,6637,2293,1,5.92692613601685,5.86929702758789,8.8004150390625,7.73761606216431
"84",295,318.299987792969,3,6056,1837,1,5.68697547912598,5.76299428939819,8.70880508422852,7.51588916778564
"75",306,388.600006103516,2,20700,2205,0,5.72358512878418,5.9625506401062,9.93788909912109,7.69848299026489
"59",289,298.700012207031,3,6060,1925,1,5.66642665863037,5.69944000244141,8.70946502685547,7.56268119812012
"30",350,355.299987792969,4,9773,2051,1,5.85793304443359,5.872962474823,9.18737888336182,7.62608289718628
"72",240,250.699996948242,3,6000,1536,1,5.48063898086548,5.52425718307495,8.69951438903809,7.33693695068359
"25",247,239.699996948242,3,9425,1440,1,5.50938844680786,5.47938823699951,9.15112113952637,7.27239847183228
"80",225,249.800003051758,3,18838,1294,0,5.41610050201416,5.52066040039062,9.84363174438477,7.16549348831177
"62",266,286.399993896484,4,5484,1664,1,5.58349609375,5.65738964080811,8.60958957672119,7.41697978973389
"79",246,276.200012207031,4,5944,1928,1,5.50533151626587,5.62112522125244,8.69013786315918,7.56423854827881
"18",285,305.600006103516,3,7123,1774,1,5.65248918533325,5.72227716445923,8.87108421325684,7.48099231719971
"49",253,256.799987792969,3,5850,1536,1,5.53338956832886,5.54829740524292,8.67419719696045,7.33693695068359
"71",215,300.399993896484,3,11554,1694,0,5.37063789367676,5.70511484146118,9.35478687286377,7.43484783172607
"16",227.399993896484,232.899993896484,4,3597,1760,1,5.42671060562134,5.45060920715332,8.18785572052002,7.473069190979
"5",373,319.100006103516,4,6095,2514,1,5.9215784072876,5.76550436019897,8.71522426605225,7.82963037490845
"29",477.5,478.100006103516,7,8400,3529,1,6.1685643196106,6.16981983184814,9.03598690032959,8.16876983642578
"20",310,326,4,8602,1835,1,5.736572265625,5.7868971824646,9.05974960327148,7.51479959487915
"39",209.001007080078,289.399993896484,4,6400,1854,1,5.34233903884888,5.66780996322632,8.76405334472656,7.52510070800781
"85",236,259.399993896484,3,5828,1715,0,5.46383190155029,5.55837106704712,8.67042922973633,7.44716835021973
"60",316,314.600006103516,4,5539,2343,0,5.75574207305908,5.75130224227905,8.61956882476807,7.7591872215271
